Sample in Buffer,Sample in Window,TRIGGER,ad_in_IBUF[7:0],FRE1_index[15:0]
315,315,0,124,100
316,316,0,124,100
317,317,0,124,100
318,318,0,124,100
319,319,0,124,100
320,320,0,124,100
321,321,0,124,100
322,322,0,124,100
323,323,0,124,100
324,324,0,124,100
325,325,0,124,100
326,326,0,124,100
327,327,0,124,100
328,328,0,124,100
329,329,0,124,100
330,330,0,124,100
331,331,0,124,100
332,332,0,124,100
333,333,0,124,100
334,334,0,124,100
335,335,0,124,100
336,336,0,124,100
337,337,0,124,100
338,338,0,124,100
339,339,0,124,100
340,340,0,124,100
341,341,0,124,100
342,342,0,124,100
343,343,0,124,100
344,344,0,124,100
345,345,0,124,100
346,346,0,124,100
347,347,0,124,100
348,348,0,124,100
349,349,0,124,100
350,350,0,124,100
351,351,0,124,100
352,352,0,124,100
353,353,0,124,100
354,354,0,124,100
355,355,0,124,100
356,356,0,124,100
357,357,0,124,100
358,358,0,124,100
359,359,0,124,100
360,360,0,124,100
361,361,0,124,100
362,362,0,124,100
363,363,0,124,100
364,364,0,124,100
365,365,0,124,100
366,366,0,124,100
367,367,0,124,100
368,368,0,124,100
369,369,0,124,100
370,370,0,124,100
371,371,0,124,100
372,372,0,124,100
373,373,0,124,100
374,374,0,124,100
375,375,0,124,100
376,376,0,124,100
377,377,0,124,100
378,378,0,124,100
379,379,0,124,100
380,380,0,124,100
381,381,0,124,100
382,382,0,124,100
383,383,0,124,100
384,384,0,124,100
385,385,0,124,100
386,386,0,124,100
387,387,0,124,100
388,388,0,124,100
389,389,0,124,100
390,390,0,124,100
391,391,0,124,100
392,392,0,124,100
393,393,0,124,100
394,394,0,124,100
395,395,0,124,100
396,396,0,124,100
397,397,0,124,100
398,398,0,124,100
399,399,0,124,100
400,400,0,124,100
401,401,0,124,100
402,402,0,124,100
403,403,0,124,100
404,404,0,124,100
405,405,0,124,100
406,406,0,124,100
407,407,0,124,100
408,408,0,124,100
409,409,0,124,100
410,410,0,124,100
411,411,0,124,100
412,412,0,124,100
413,413,0,124,100
414,414,0,124,100
415,415,0,124,100
416,416,0,124,100
417,417,0,124,100
418,418,0,124,100
419,419,0,124,100
420,420,0,124,100
421,421,0,124,100
422,422,0,124,100
423,423,0,124,100
424,424,0,124,100
425,425,0,124,100
426,426,0,124,100
427,427,0,124,100
428,428,0,124,100
429,429,0,124,100
430,430,0,124,100
431,431,0,124,100
432,432,0,124,100
433,433,0,124,100
434,434,0,124,100
435,435,0,124,100
436,436,0,124,100
437,437,0,124,100
438,438,0,124,100
439,439,0,124,100
440,440,0,124,100
441,441,0,124,100
442,442,0,124,100
443,443,0,124,100
444,444,0,124,100
445,445,0,124,100
446,446,0,124,100
447,447,0,124,100
448,448,0,124,100
449,449,0,124,100
450,450,0,124,100
451,451,0,124,100
452,452,0,124,100
453,453,0,124,100
454,454,0,124,100
455,455,0,124,100
456,456,0,124,100
457,457,0,124,100
458,458,0,124,100
459,459,0,124,100
460,460,0,124,100
461,461,0,124,100
462,462,0,124,100
463,463,0,124,100
464,464,0,124,100
465,465,0,124,100
466,466,0,124,100
467,467,0,124,100
468,468,0,124,100
469,469,0,124,100
470,470,0,124,100
471,471,0,124,100
472,472,0,124,100
473,473,0,124,100
474,474,0,124,100
475,475,0,124,100
476,476,0,124,100
477,477,0,124,100
478,478,0,124,100
479,479,0,124,100
480,480,0,124,100
481,481,0,124,100
482,482,0,124,100
483,483,0,124,100
484,484,0,124,100
485,485,0,124,100
486,486,0,124,100
487,487,0,124,100
488,488,0,124,100
489,489,0,124,100
490,490,0,124,100
491,491,0,124,100
492,492,0,124,100
493,493,0,124,100
494,494,0,124,100
495,495,0,124,100
496,496,0,124,100
497,497,0,124,100
498,498,0,124,100
499,499,0,124,100
500,500,0,124,100
501,501,0,124,100
502,502,0,124,100
503,503,0,124,100
504,504,0,124,100
505,505,0,124,100
506,506,0,124,100
507,507,0,124,100
508,508,0,124,100
509,509,0,124,100
510,510,0,124,100
511,511,0,124,100
512,512,0,124,100
513,513,0,124,100
514,514,0,124,100
515,515,0,124,100
516,516,0,124,100
517,517,0,124,100
518,518,0,124,100
519,519,0,124,100
520,520,0,124,100
521,521,0,124,100
522,522,0,124,100
523,523,0,124,100
524,524,0,124,100
525,525,0,124,100
526,526,0,124,100
527,527,0,124,100
528,528,0,124,100
529,529,0,124,100
530,530,0,124,100
531,531,0,124,100
532,532,0,124,100
533,533,0,124,100
534,534,0,124,100
535,535,0,124,100
536,536,0,124,100
537,537,0,124,100
538,538,0,124,100
539,539,0,124,100
540,540,0,124,100
541,541,0,124,100
542,542,0,124,100
543,543,0,124,100
544,544,0,124,100
545,545,0,124,100
546,546,0,124,100
547,547,0,124,100
548,548,0,124,100
549,549,0,124,100
550,550,0,124,100
551,551,0,124,100
552,552,0,124,100
553,553,0,124,100
554,554,0,124,100
555,555,0,124,100
556,556,0,124,100
557,557,0,124,100
558,558,0,124,100
559,559,0,124,100
560,560,0,124,100
561,561,0,124,100
562,562,0,124,100
563,563,0,124,100
564,564,0,124,100
565,565,0,124,100
566,566,0,124,100
567,567,0,124,100
568,568,0,124,100
569,569,0,124,100
570,570,0,124,100
571,571,0,124,100
572,572,0,124,100
573,573,0,124,100
574,574,0,124,100
575,575,0,124,100
576,576,0,124,100
577,577,0,124,100
578,578,0,124,100
579,579,0,124,100
580,580,0,124,100
581,581,0,124,100
582,582,0,124,100
583,583,0,124,100
584,584,0,124,100
585,585,0,124,100
586,586,0,124,100
587,587,0,124,100
588,588,0,124,100
589,589,0,124,100
590,590,0,124,100
591,591,0,124,100
592,592,0,124,100
593,593,0,124,100
594,594,0,124,100
595,595,0,124,100
596,596,0,124,100
597,597,0,124,100
598,598,0,124,100
599,599,0,124,100
600,600,0,124,100
601,601,0,124,100
602,602,0,124,100
603,603,0,124,100
604,604,0,124,100
605,605,0,124,100
606,606,0,124,100
607,607,0,124,100
608,608,0,124,100
609,609,0,124,100
610,610,0,124,100
611,611,0,124,100
612,612,0,124,100
613,613,0,124,100
614,614,0,124,100
615,615,0,124,100
616,616,0,124,100
617,617,0,124,100
